ID,Name,Age,Overall,Club,Value,Wage,Preferred Foot,Height,Weight
157219,G. Fernández,34,71,Estudiantes de La Plata,€1.2M,€11K,Right,5'7,154lbs
163619,J. Hayes,30,71,Celtic,€2.2M,€31K,Left,5'8,161lbs
229155,T. Ouwejan,22,71,AZ Alkmaar,€2.7M,€8K,Left,6'0,159lbs
177955,D. Guerrero,30,71,Puebla FC,€1.8M,€31K,Right,5'9,157lbs
54051,W. Routledge,33,71,Swansea City,€1.4M,€18K,Right,5'7,170lbs
210724,C. Paterson,23,71,Cardiff City,€3.2M,€24K,Right,6'2,168lbs
212260,Hwang Ui Jo,25,71,Gamba Osaka,€3M,€9K,Right,6'0,161lbs
235812,G. Kvilitaia,24,71,KAA Gent,€3.1M,€13K,Right,6'4,181lbs
195620,R. Krishna,30,71,Wellington Phoenix,€2.3M,€4K,Right,5'7,154lbs
222501,T. Castagne,22,71,Atalanta,€3.3M,€14K,Right,6'1,176lbs
226085,Léo Jardim,23,71,Rio Ave FC,€2.8M,€4K,Right,6'2,163lbs
230181,Heitor Gesse,34,71,Cruzeiro,€675K,€16K,Left,5'10,152lbs
244261,L. Majer,20,71,Dinamo Zagreb,€4.2M,€1K,Left,5'10,165lbs
219174,R. Carrera,26,71,Unión Española,€2.8M,€4K,Right,6'0,159lbs
220198,B. Celina,21,71,Swansea City,€3.8M,€13K,Right,5'11,146lbs
232230,R. Matarrita,23,71,New York City FC,€2.8M,€5K,Left,5'9,154lbs
178470,L. Vitale,30,71,US Salernitana 1919,€1.7M,€3K,Left,5'11,157lbs
187942,R. Gestede,29,71,Middlesbrough,€2.4M,€36K,Right,6'4,190lbs
157479,Pedro López,34,71,Levante UD,€675K,€13K,Right,5'9,159lbs
231207,J. Lucumi,20,71,KRC Genk,€4.1M,€7K,Left,6'1,172lbs
232487,W. Endo,25,71,Sint-Truidense VV,€2.6M,€7K,Right,5'10,165lbs
236071,João Bardinho,34,71,Botafogo,€675K,€13K,Left,5'10,157lbs
207657,F. Barrientos,26,71,Club Atlético Lanús,€2.7M,€12K,Right,5'9,154lbs
185129,P. Glykos,31,71,PAOK,€1.4M,€1K,Right,6'2,181lbs
194089,C. Moritz,28,71,Hamburger SV,€2.4M,€10K,Right,6'1,176lbs
201514,E. Kachunga,26,71,Huddersfield Town,€2.8M,€28K,Right,5'10,163lbs
214570,S. Mendoza,26,71,Amiens SC,€2.8M,€12K,Left,5'7,154lbs
219690,Diego Galo,34,71,CD Aves,€725K,€8K,Right,6'1,176lbs
202283,Lins,30,71,FC Tokyo,€2.3M,€8K,Right,5'8,152lbs
106795,G. Pegolo,37,71,Sassuolo,€160K,€14K,Left,6'0,168lbs
125995,U. Bulut,35,71,Kayserispor,€1.1M,€8K,Right,6'0,165lbs
219180,Dani Calvo,24,71,CD Numancia,€2.6M,€6K,Right,6'3,181lbs
230188,Alam Araújo,26,71,Grêmio,€2M,€16K,Left,5'10,172lbs
239148,F. Andrijašević,27,71,KAA Gent,€2.7M,€13K,Right,6'1,181lbs
244268,I. Fiolić,22,71,KRC Genk,€3.3M,€9K,Left,5'9,154lbs
189228,M. Caire,29,71,Club Atlético Tigre,€1.8M,€10K,Right,5'10,154lbs
226093,C. Adams,21,71,Birmingham City,€3.6M,€15K,Right,5'10,146lbs
193581,P. Škuletić,28,71,Montpellier HSC,€2.4M,€18K,Left,6'4,196lbs
138798,G. Lux,36,71,River Plate,€325K,€7K,Right,6'1,170lbs
148526,P. Kieszek,34,71,Málaga CF,€950K,€5K,Right,6'2,181lbs
215086,B. Cortés,23,71,Colo-Colo,€2.9M,€4K,Right,6'1,174lbs
217646,S. Nishikawa,32,71,Urawa Red Diamonds,€1.4M,€6K,Left,6'0,179lbs
176942,M. Lustig,31,71,Celtic,€1.6M,€28K,Right,6'2,172lbs
218415,A. Bjelica,24,71,KV Oostende,€3.1M,€9K,Left,6'0,179lbs
215344,G. Alcoba,33,71,Santos Laguna,€950K,€13K,Right,6'0,183lbs
184624,J. Rhodes,28,71,Norwich City,€2.4M,€21K,Right,6'1,157lbs
234033,Borja Lasso,24,71,Sevilla FC,€3.2M,€9K,Right,6'1,159lbs
237105,O. Cabezas,21,71,Rosario Central,€3M,€1K,Left,5'11,174lbs
186161,G. Sunu,27,71,BB Erzurumspor,€2.5M,€11K,Left,5'11,183lbs
198194,D. Williams,29,71,Huddersfield Town,€2.3M,€29K,Right,6'0,176lbs
227890,Nuno Santos,23,71,Rio Ave FC,€3.2M,€6K,Left,5'10,161lbs
240690,N. González,20,71,VfB Stuttgart,€4.3M,€17K,Left,5'11,148lbs
189490,M. Boland,31,71,Adelaide United,€2M,€4K,Left,5'9,154lbs
205363,M. Bianchetti,25,71,Hellas Verona,€2.3M,€3K,Right,6'2,179lbs
214323,G. Celis,25,71,Vitória Guimarães,€2.5M,€6K,Right,5'10,161lbs
213556,Somália,29,71,Al Shabab,€2.3M,€22K,Right,5'11,161lbs
190516,Y. El Ghanassy,27,71,Al Raed,€2.5M,€16K,Right,5'8,161lbs
207669,E. Finlay,27,71,Minnesota United FC,€2.5M,€6K,Right,5'9,165lbs
191541,A. Uchida,30,71,Kashima Antlers,€1.7M,€8K,Right,5'9,154lbs
193333,N. Brighenti,28,71,Frosinone,€1.9M,€11K,Right,5'10,165lbs
213302,I. Tajouri-Shradi,24,71,New York City FC,€3.2M,€6K,Left,5'7,152lbs
227638,S. Abdullahi,21,71,1. FC Union Berlin,€3.6M,€4K,Right,6'1,190lbs
192310,Lionn,29,71,GD Chaves,€1.8M,€7K,Right,6'0,170lbs
198455,J. Larsson,28,71,Brøndby IF,€1.9M,€16K,Right,5'11,165lbs
222775,T. Pachonik,23,71,Carpi,€2.7M,€2K,Right,6'1,194lbs
181559,F. Bellugou,31,71,AJ Auxerre,€1.6M,€5K,Right,6'2,165lbs
193847,Osmar,30,71,Cerezo Osaka,€1.8M,€5K,Left,6'4,196lbs
196151,S. Motta,34,71,La Equidad,€1.2M,€2K,Right,5'8,152lbs
241464,Pau Torres,21,71,Málaga CF,€3M,€12K,Left,6'4,179lbs
241720,André Pereira,23,71,FC Porto,€3.4M,€8K,Left,6'2,168lbs
241976,Tiago Sá,23,71,SC Braga,€2.6M,€6K,Right,6'1,172lbs
185144,M. Coda,29,71,Benevento,€2.4M,€5K,Right,6'0,159lbs
192824,W. Mesloub,32,71,Racing Club de Lens,€1.8M,€7K,Right,5'11,152lbs
201529,M. Capuano,26,71,Frosinone,€2.4M,€10K,Left,6'1,176lbs
206649,A. Henríquez,35,71,Atlético Nacional,€550K,€3K,Left,6'4,207lbs
171321,G. Dorrans,31,71,Rangers FC,€2M,€31K,Right,5'10,172lbs
183353,Víctor Díaz,30,71,Granada CF,€1.7M,€6K,Right,6'0,159lbs
194361,T. Makino,31,71,Urawa Red Diamonds,€1.6M,€8K,Right,6'0,170lbs
198970,J. Mensah,27,71,Columbus Crew SC,€2.2M,€5K,Right,6'2,183lbs
212282,I. Sylla,24,71,Toulouse Football Club,€2.6M,€14K,Left,5'11,165lbs
191034,Cyriac,27,71,Sivasspor,€2.5M,€11K,Right,5'8,165lbs
204347,Bernardo,24,71,CD Lugo,€2.8M,€5K,Right,6'3,187lbs
211515,P. Gollini,23,71,Atalanta,€2.6M,€10K,Right,6'2,176lbs
229435,M. Vlap,21,71,SC Heerenveen,€3.4M,€5K,Right,6'3,152lbs
230459,Tiago Pombeira,30,71,Atlético Mineiro,€2.2M,€21K,Left,5'8,143lbs
233531,Y. Soteldo,21,71,Universidad de Chile,€3.8M,€6K,Right,5'3,121lbs
171067,Rafa López,33,71,CF Rayo Majadahonda,€950K,€5K,Right,5'10,159lbs
156988,A. Nocerino,33,71,Benevento,€950K,€4K,Right,5'9,165lbs
229948,J. Harper,22,71,Málaga CF,€3.5M,€7K,Left,6'1,172lbs
175932,R. De Laet,29,71,Melbourne City FC,€1.8M,€13K,Right,6'1,170lbs
216381,J. Zimmer,24,71,Fortuna Düsseldorf,€2.6M,€14K,Right,5'7,163lbs
156221,C. Săpunaru,34,71,Kayserispor,€725K,€9K,Right,6'2,179lbs
223293,Afonso Figueiredo,25,71,Rio Ave FC,€2.4M,€6K,Left,5'7,141lbs
223550,J. Omlin,24,71,FC Basel 1893,€2.6M,€10K,Right,6'2,176lbs
240702,R. Yaremchuk,22,71,KAA Gent,€3.2M,€13K,Right,6'3,174lbs
197439,F. Wiedwald,28,71,Eintracht Frankfurt,€1.7M,€16K,Right,6'3,181lbs
203327,A. Galabinov,29,71,Spezia,€2.4M,€4K,Right,6'3,194lbs
215615,Maikel Mesa,27,71,UD Las Palmas,€2.7M,€8K,Right,6'2,174lbs
231231,B. Garnica,22,71,Club Atlas,€3.2M,€12K,Right,5'6,123lbs
204352,D. Arslanagic,25,71,Royal Antwerp FC,€2.6M,€7K,Right,6'3,192lbs
208960,H. Henao,31,71,Alianza Petrolera,€1.6M,€2K,Right,5'11,152lbs
232512,Y. Kashiwa,30,71,Sanfrecce Hiroshima,€2.2M,€9K,Right,5'6,137lbs
190528,J. Gol,32,71,Cracovia,€1.8M,€5K,Right,6'0,170lbs
209473,N. Ghilas,28,71,Göztepe SK,€2.4M,€18K,Right,6'0,187lbs
209729,B. McKay,23,71,Swansea City,€3.3M,€17K,Right,5'9,148lbs
223297,Carraça,25,71,Boavista FC,€2.5M,€5K,Right,5'10,163lbs
205122,Adriano Facchini,35,71,Al Batin,€550K,€5K,Right,6'1,163lbs
211522,A. Callens,26,71,New York City FC,€2.5M,€5K,Left,6'1,168lbs
150594,J. Perbet,33,71,Sporting de Charleroi,€1.5M,€11K,Right,6'0,185lbs
206147,M. Antonsson,27,71,Malmö FF,€2.8M,€6K,Right,6'0,176lbs
156227,Carlitos,35,71,FC Sion,€1M,€14K,Right,5'9,161lbs
156483,C. Lucchetti,40,71,Atlético Tucumán,€160K,€4K,Right,6'0,152lbs
184387,J. Bostock,26,71,Toulouse Football Club,€2.5M,€16K,Left,6'2,185lbs
224836,V. Milinković-Savić,21,71,SPAL,€2.6M,€12K,Right,6'8,203lbs
172100,G. Peñalba,33,71,UD Las Palmas,€1.4M,€8K,Right,6'4,198lbs
233029,R. Aliendro,27,71,Atlético Tucumán,€2.2M,€8K,Right,5'10,150lbs
172613,L. Seijas,32,71,Independiente Santa Fe,€1.8M,€3K,Left,5'10,157lbs
187205,L. Fuentes,31,71,Club Tijuana,€1.6M,€13K,Left,5'8,141lbs
199750,R. Hassan,27,71,FC Midtjylland,€2.5M,€16K,Right,5'8,141lbs
222022,L. Di Plácido,24,71,Club Atlético Lanús,€2.6M,€9K,Right,5'9,159lbs
243270,Heriberto Tavares,21,71,Moreirense FC,€3.7M,€6K,Left,5'11,146lbs
200519,Pulido,27,71,SD Huesca,€2.2M,€13K,Right,6'1,159lbs
207943,Ewerton,25,71,Portimonense SC,€2.9M,€8K,Right,5'10,152lbs
215111,G. Verón,28,71,Independiente,€2.4M,€14K,Right,5'10,168lbs
225863,O. Boscagli,20,71,OGC Nice,€3.3M,€12K,Left,5'11,150lbs
165191,C. Jerome,31,71,Göztepe SK,€2.1M,€17K,Right,6'1,187lbs
186695,E. Muñoz,27,71,CD Leganés,€2.3M,€16K,Right,6'1,172lbs
204104,U. Đerić,26,71,Gangwon FC,€2.9M,€5K,Right,6'5,209lbs
144200,E. Albayrak,27,71,Júbilo Iwata,€2.2M,€4K,Left,5'10,152lbs
213064,F. Calvo,25,71,Minnesota United FC,€2.4M,€5K,Left,5'11,170lbs
220488,F. Costa,23,71,SPAL,€3.2M,€8K,Left,5'9,154lbs
179528,Xavi Torres,31,71,Elche CF,€1.6M,€5K,Right,6'0,181lbs
209738,A. Cadavid,32,71,Millonarios FC,€1.4M,€3K,Left,6'2,192lbs
162890,J. Spector,32,71,Orlando City SC,€1.4M,€5K,Right,6'0,176lbs
188234,Felipe,31,71,Hannover 96,€1.6M,€18K,Left,6'4,198lbs
208459,M. Dijks,25,71,Bologna,€2.4M,€17K,Left,6'4,207lbs
209483,M. Hassen,23,71,OGC Nice,€2.4M,€12K,Right,6'1,176lbs
198220,M. Bourabia,26,71,Sassuolo,€2.7M,€29K,Right,6'0,161lbs
199244,L. Hejda,28,71,Viktoria Plzeň,€2.2M,€1K,Right,6'2,190lbs
202060,E. Bergström,25,71,FC Utrecht,€2.6M,€11K,Right,6'2,192lbs
234573,Aurélio Buta,21,71,Royal Antwerp FC,€3M,€6K,Right,5'8,159lbs
223054,C. Penilla,27,71,New England Revolution,€2.5M,€6K,Right,5'9,168lbs
228942,D. Cools,22,71,Club Brugge KV,€3.3M,€12K,Right,6'0,172lbs
237646,D. Muñoz,22,71,Rionegro Águilas,€3M,€1K,Right,6'0,168lbs
217167,G. Sandoval,22,71,Guadalajara,€3.6M,€20K,Right,5'7,146lbs
224591,Y. Bodiger,23,71,Toulouse Football Club,€3M,€14K,Left,6'2,176lbs
214096,T. Kleindienst,22,71,SC Freiburg,€3.2M,€15K,Right,6'4,185lbs
217168,J. Abella,24,71,Santos Laguna,€2.6M,€11K,Right,5'9,163lbs
169808,U. Emanuelson,32,71,FC Utrecht,€1.8M,€12K,Left,5'9,150lbs
183632,R. Tesche,31,71,VfL Bochum 1848,€2M,€12K,Right,5'11,157lbs
3665,B. Nivet,41,71,ESTAC Troyes,€ 0,€5K,Right,5'10,165lbs
239953,Léo Jabá,19,71,PAOK,€4M,€1K,Right,5'11,176lbs
184401,Paulo Henrique,29,71,Akhisar Belediyespor,€2.4M,€13K,Right,6'1,176lbs
241746,Y. Meriah,24,71,Olympiacos CFP,€2.6M,€1K,Right,6'3,183lbs
231507,A. Soto,24,71,Racing Club,€2.6M,€10K,Left,5'10,157lbs
234579,J. Quiñones,21,71,Tigres U.A.N.L.,€3.9M,€25K,Right,5'10,168lbs
234835,Domingos Duarte,23,71,Deportivo de La Coruña,€3M,€7K,Right,6'3,172lbs
204372,E. Başsan,26,71,BB Erzurumspor,€2.8M,€10K,Left,5'10,146lbs
219988,F. Avenatti,25,71,KV Kortrijk,€2.9M,€20K,Left,6'5,190lbs
185172,V. Fiorillo,28,71,Pescara,€1.7M,€3K,Right,6'3,174lbs
197973,O. González,33,71,Deportivo Toluca,€950K,€14K,Right,6'0,174lbs
158293,Zheng Zhi,37,71,Guangzhou Evergrande Taobao FC,€325K,€8K,Right,5'11,165lbs
190549,M. Henriksen,25,71,Hull City,€2.9M,€17K,Right,6'2,176lbs
230486,Paulolettinho,34,71,Paraná,€1.2M,€14K,Right,5'11,176lbs
172886,S. Malezas,33,71,PAOK,€950K,€1K,Right,6'4,168lbs
199511,W. Lautoa,30,71,Dijon FCO,€1.8M,€9K,Left,6'0,192lbs
211287,M. Fofana,26,71,Atiker Konyaspor,€2.5M,€12K,Right,5'10,157lbs
213591,J. Cornejo,27,71,Club León,€2M,€17K,Left,5'10,172lbs
214615,J. Duque,31,71,Club Atlas,€2.1M,€15K,Right,6'0,174lbs
219736,E. Horvath,23,71,Club Brugge KV,€2.4M,€9K,Right,6'5,190lbs
198489,J. McClean,29,71,Stoke City,€2.3M,€30K,Left,5'11,154lbs
183385,A. Guédioura,32,71,Nottingham Forest,€1.8M,€30K,Right,5'10,179lbs
208730,E. Valentini,29,71,1. FC Nürnberg,€1.8M,€15K,Right,6'0,172lbs
231002,J. Šimunović,23,71,Celtic,€2.7M,€24K,Right,6'3,187lbs
235866,C. Kouamé,20,71,Genoa,€5M,€9K,Right,6'1,154lbs
184154,N. De Pauw,28,71,SV Zulte-Waregem,€2.4M,€11K,Right,5'11,174lbs
230235,Alex das Freitas,30,71,América FC (Minas Gerais),€1.8M,€10K,Right,5'8,168lbs
190555,Mossa,29,71,Real Oviedo,€1.8M,€7K,Left,5'10,159lbs
214876,J. Marriott,23,71,Derby County,€3.4M,€25K,Right,5'8,157lbs
227932,L. Fröde,23,71,MSV Duisburg,€3M,€5K,Right,6'4,187lbs
237404,L. Pokorný,24,71,SK Slavia Praha,€2.8M,€1K,Left,6'3,190lbs
240988,D. Vavro,22,71,FC København,€3.3M,€11K,Right,6'3,168lbs
176732,M. Bjärsmyr,32,71,Sivasspor,€1.4M,€9K,Right,6'1,181lbs
159581,Oriol Riera,31,71,Western Sydney Wanderers,€2.1M,€7K,Right,6'0,172lbs
234333,M. Maolida,19,71,OGC Nice,€5M,€11K,Right,6'0,168lbs
188765,M. Mostefa,34,71,AS Béziers,€725K,€4K,Right,5'11,181lbs
214366,R. Carrascal,25,71,Deportes Tolima,€2.8M,€3K,Right,5'8,165lbs
234078,O. Mangala,20,71,Hamburger SV,€4M,€15K,Right,5'10,172lbs
192608,M. Barthelmé,29,71,La Berrichonne de Châteauroux,€2.3M,€5K,Left,5'9,161lbs
193632,A. Novikovas,27,71,Jagiellonia Białystok,€2.5M,€7K,Left,5'10,168lbs
199266,Ji Dong Won,27,71,FC Augsburg,€2.5M,€17K,Right,6'2,179lbs
222562,R. Rúnarsson,23,71,Dijon FCO,€2.6M,€6K,Right,6'1,168lbs
223074,D. Rotariu,22,71,AZ Alkmaar,€3.3M,€14K,Left,5'11,159lbs
239970,Paulinho,17,71,Bayer 04 Leverkusen,€4.7M,€15K,Right,5'10,170lbs
204387,Juan Carlos,27,71,UD Almería,€2.5M,€6K,Right,6'0,159lbs
213092,S. Piette,23,71,Montreal Impact,€2.7M,€5K,Right,5'7,174lbs
161636,N. Ortigoza,33,71,Rosario Central,€950K,€10K,Right,5'11,172lbs
194916,António Filipe,33,71,GD Chaves,€1.2M,€5K,Right,6'2,179lbs
233061,M. Pereira Lage,21,71,Clermont Foot 63,€3.8M,€4K,Right,5'11,148lbs
234853,Jean Cléber,28,71,Clube Sport Marítimo,€2.4M,€8K,Right,5'11,176lbs
239717,O. Danchenko,23,71,Shakhtar Donetsk,€2.7M,€1K,Right,5'10,141lbs
192613,C. Pantilimon,31,71,Nottingham Forest,€1.4M,€22K,Right,6'8,212lbs
205158,Guillermo,25,71,CD Numancia,€3.2M,€8K,Right,5'11,163lbs
175462,O. Vizcarrondo,34,71,ESTAC Troyes,€725K,€6K,Right,6'3,187lbs
224103,E. Aguirre,21,71,Pachuca,€4.1M,€14K,Right,5'8,143lbs
228967,Edu Machado,28,71,Boavista FC,€1.9M,€6K,Right,5'9,148lbs
191079,H. Dean,26,71,Birmingham City,€2.4M,€17K,Right,6'3,165lbs
214376,D. Andrade,27,71,Deportivo Cali,€2M,€2K,Left,5'8,154lbs
224104,D. Martínez,28,71,Unión de Santa Fe,€1.9M,€13K,Right,5'9,170lbs
159080,C. Bryson,31,71,Derby County,€2M,€26K,Right,5'7,132lbs
209769,B. Başaçıkoğlu,23,71,Kayserispor,€3.2M,€9K,Right,5'8,154lbs
227689,K. Mrabti,24,71,Djurgårdens IF,€3.3M,€5K,Right,5'9,165lbs
169321,M. Fraga,30,71,U.N.A.M.,€1.5M,€10K,Right,6'0,183lbs
234857,I. Oblyakov,19,71,PFC CSKA Moscow,€3.9M,€1K,Left,5'9,163lbs
183145,S. Logan,30,71,Aberdeen,€1.7M,€6K,Right,5'9,159lbs
201066,D. Kaiser,29,71,Brøndby IF,€2.3M,€18K,Right,5'7,148lbs
214378,D. Silva,31,71,Millonarios FC,€2M,€3K,Right,5'9,163lbs
241771,A. Nwakaeme,29,71,Trabzonspor,€2.3M,€21K,Right,6'1,176lbs
194924,Toribio,29,71,AD Alcorcón,€1.8M,€7K,Left,5'9,157lbs
199789,M. Yumlu,30,71,Akhisar Belediyespor,€1.8M,€11K,Right,6'3,170lbs
202605,A. Milošević,26,71,AIK,€2.5M,€6K,Right,6'3,181lbs
192621,D. Nounkeu,32,71,Akhisar Belediyespor,€1.4M,€11K,Right,6'0,176lbs
217710,M. Barragán,26,71,Club Necaxa,€2.8M,€10K,Right,5'10,168lbs
220782,M. Ilaimaharitra,22,71,Sporting de Charleroi,€2.8M,€8K,Right,5'10,174lbs
186990,H. González,27,71,Club Necaxa,€1.8M,€20K,Right,6'1,181lbs
241775,J. El Yamiq,26,71,Perugia,€2.3M,€10K,Right,6'3,183lbs
222832,João Teixeira,24,71,GD Chaves,€3.1M,€7K,Right,5'10,159lbs
224368,M. Doumbia,23,71,Stade de Reims,€3.2M,€11K,Right,5'7,141lbs
178032,R. Brégerie,31,71,1. FC Magdeburg,€1.6M,€15K,Right,6'3,198lbs
197233,A. Diallo,26,71,Stade Rennais FC,€2.1M,€14K,Right,6'3,181lbs
203633,M. Bruno,24,71,Sporting de Charleroi,€3M,€9K,Right,5'10,163lbs
183921,J. Faussurier,31,71,Stade Brestois 29,€2.1M,€6K,Right,5'8,154lbs
191089,C. Wickham,25,71,Crystal Palace,€3.1M,€32K,Right,6'3,198lbs
199282,A. Abrashi,28,71,SC Freiburg,€1.9M,€15K,Right,5'8,157lbs
232562,K. Nakamura,23,71,Kashiwa Reysol,€2.4M,€5K,Right,6'1,181lbs
177522,Suso Santana,33,71,CD Tenerife,€1.4M,€7K,Right,5'8,137lbs
224371,J. Bowen,21,71,Hull City,€3.8M,€13K,Left,5'9,154lbs
233075,Garrido,28,71,Cádiz CF,€1.9M,€7K,Right,6'1,179lbs
236403,E. N'Dicka,18,71,Eintracht Frankfurt,€3.4M,€8K,Left,6'4,176lbs
239475,J. González,19,71,Monterrey,€3.7M,€13K,Right,5'9,137lbs
190579,Y. Andreu,29,71,Angers SCO,€1.8M,€14K,Right,5'10,154lbs
200820,J. Obita,24,71,Reading,€2.6M,€17K,Left,5'11,163lbs
202356,Z. Erdal,30,71,Sivasspor,€1.7M,€9K,Left,6'0,161lbs
210548,L. Capezzi,23,71,Empoli,€3.4M,€18K,Right,5'10,159lbs
211060,Elsinho,28,71,Kawasaki Frontale,€1.9M,€7K,Right,5'11,172lbs
214388,D. Asprilla,29,71,Al Fayha,€2.3M,€14K,Right,5'10,170lbs
216692,S. Torrico,38,71,San Lorenzo de Almagro,€160K,€6K,Right,6'0,185lbs
230772,Léo Gamalho,32,71,Pohang Steelers,€1.9M,€6K,Right,6'2,205lbs
112244,J. Plašil,36,71,FC Girondins de Bordeaux,€750K,€18K,Right,6'0,157lbs
200309,T. Darikwa,26,71,Nottingham Forest,€2.3M,€27K,Right,6'2,170lbs
224885,Guilherme Sityá,28,71,Jagiellonia Białystok,€1.9M,€7K,Left,5'10,168lbs
193909,Escassi,29,71,CD Numancia,€2.1M,€7K,Right,6'1,172lbs
204406,G. Achilier,33,71,Monarcas Morelia,€950K,€7K,Right,5'10,187lbs
142454,Verza,31,71,CF Rayo Majadahonda,€1.6M,€5K,Right,5'11,172lbs
189558,B. Salamon,27,71,Frosinone,€2.2M,€9K,Right,6'5,196lbs
193910,A. Forshaw,26,71,Leeds United,€2.7M,€26K,Right,5'9,157lbs
214135,J. Quiñones,28,71,Deportes Tolima,€2.2M,€3K,Right,6'5,190lbs
215159,W. Camacho,32,71,Rosario Central,€1.8M,€11K,Left,5'10,152lbs
156535,T. Buffel,37,71,SV Zulte-Waregem,€800K,€8K,Right,5'9,154lbs
164471,Xisco,32,71,CA Osasuna,€1.9M,€8K,Right,6'2,168lbs
230263,Adeilson Gesser,26,71,Bahia,€2.5M,€9K,Left,5'9,154lbs
193143,Roderick Miranda,27,71,Olympiacos CFP,€2.4M,€1K,Right,6'4,196lbs
197240,N. Besara,27,71,Örebro SK,€2.7M,€4K,Right,6'0,168lbs
204920,D. Zbozień,29,71,Arka Gdynia,€1.8M,€4K,Right,6'1,176lbs
214392,J. Cuero,30,71,América de Cali,€2.2M,€2K,Left,5'9,154lbs
222840,R. Coly,22,71,OGC Nice,€2.8M,€15K,Left,6'1,154lbs
202873,K. Müller,27,71,1. FC Heidenheim 1846,€1.8M,€7K,Right,6'3,198lbs
208505,R. Zozulya,28,71,Albacete BP,€2.4M,€7K,Right,5'11,137lbs
225145,R. Mphahlele,28,71,Kaizer Chiefs,€1.9M,€1K,Right,6'1,176lbs
169593,K. Lee,30,71,Sheffield Wednesday,€2.2M,€18K,Right,5'10,168lbs
189561,B. Koita,27,71,Kasimpaşa SK,€2.5M,€11K,Right,6'1,190lbs
230266,Heltinho Melo,34,71,Atlético Paranaense,€1.2M,€10K,Right,5'9,150lbs
230522,Nascimentardo,30,71,Ceará Sporting Club,€2.2M,€14K,Right,5'7,146lbs
173434,P. Barrera,31,71,U.N.A.M.,€2.1M,€14K,Right,5'10,159lbs
205691,R. Pucino,27,71,US Salernitana 1919,€2.2M,€3K,Right,6'0,163lbs
210555,Miguel Rodrigues,25,71,Rio Ave FC,€2.5M,€6K,Right,6'2,168lbs
218747,C. Pinares,27,71,Colo-Colo,€2.7M,€6K,Left,5'9,161lbs
193147,A. Gonçalves,32,71,RC Strasbourg Alsace,€1.8M,€12K,Right,5'10,174lbs
194171,K. Musona,28,71,RSC Anderlecht,€2.4M,€15K,Right,5'8,157lbs
203388,Tiago,25,71,Jeonbuk Hyundai Motors,€2.9M,€8K,Left,5'11,159lbs
221564,N. Leiva,21,71,Olympiacos CFP,€3.5M,€1K,Right,5'8,154lbs
211325,A. Schiavone,25,71,Venezia FC,€3.1M,€4K,Right,5'11,183lbs
177533,Manuel da Costa,32,71,Medipol Başakşehir FK,€1.4M,€14K,Right,6'3,185lbs
190589,S. Hierländer,27,71,SK Sturm Graz,€2.5M,€14K,Right,5'11,161lbs
138110,Bruno Alves,36,71,Parma,€325K,€16K,Right,6'2,179lbs
210814,J. Velázquez,27,71,Club Tijuana,€2.3M,€13K,Right,6'0,176lbs
212607,M. Chanot,28,71,New York City FC,€2.2M,€6K,Right,6'1,185lbs
220031,O. McBurnie,22,71,Swansea City,€3.7M,€17K,Right,6'3,170lbs
222079,J. Onomah,21,71,Sheffield Wednesday,€4.2M,€33K,Right,6'1,183lbs
169343,M. Madl,30,71,FK Austria Wien,€1.8M,€10K,Right,5'11,163lbs
239231,Cucurella,19,71,SD Eibar,€3.4M,€27K,Left,5'8,152lbs
142720,C. Araujo,36,71,Club Atlético Huracán,€270K,€7K,Right,5'8,152lbs
211840,M. Hartmann,30,71,SG Dynamo Dresden,€1.8M,€12K,Right,6'4,207lbs
179840,M. Spiranovic,30,71,Perth Glory,€1.8M,€5K,Right,6'4,194lbs
181120,Chong Te Se,34,71,Shimizu S-Pulse,€1.2M,€4K,Right,5'11,176lbs
192128,M. Albornoz,27,71,Hannover 96,€2M,€18K,Left,5'11,176lbs
200065,A. Nukan,24,71,RB Leipzig,€2.8M,€22K,Left,6'5,190lbs
158849,L. Szukała,34,71,MKE Ankaragücü,€725K,€13K,Right,6'5,201lbs
214146,E. Perlaza,29,71,Independiente Medellín,€1.8M,€3K,Right,5'8,159lbs
215938,M. Dal Hende,27,71,FC Midtjylland,€2M,€13K,Left,5'10,165lbs
230275,Emerson Avintes,26,71,Chapecoense,€2.5M,€11K,Right,5'10,157lbs
230531,Saberto Botelho,30,71,Atlético Paranaense,€1.8M,€9K,Right,6'0,170lbs
164484,J. Dahlin,31,71,Malmö FF,€1.4M,€4K,Right,6'3,198lbs
236164,Martin Cordeia,34,71,Internacional,€1.2M,€17K,Right,5'11,168lbs
176772,A. Oukidja,29,71,FC Metz,€1.8M,€4K,Right,6'0,174lbs
189061,S. Burchert,28,71,SpVgg Greuther Fürth,€1.7M,€6K,Right,6'2,172lbs
222598,Nélson Monte,22,71,Rio Ave FC,€2.8M,€5K,Right,6'2,172lbs
214919,D. Rojas,23,71,Universidad Católica,€3.2M,€6K,Left,5'5,115lbs
229255,Charles,24,71,Clube Sport Marítimo,€2.4M,€4K,Right,6'1,185lbs
236935,H. Wolf,19,71,FC Red Bull Salzburg,€4M,€10K,Left,5'9,150lbs
214409,E. Videla,30,71,Club Atlético Aldosivi,€2.2M,€8K,Right,5'9,161lbs
158089,P. Ledesma,34,71,Patronato,€725K,€9K,Right,5'10,174lbs
